"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Assay Parameters";"Assay Variant Accession";"Assay Variant Mutation";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID";"Properties";"Action Type";"Standard Text Value"
"CHEMBL5085332";"";"None";"362.44";"0";"3.08";"199";"C[C@H](Cc1nncn1C)c1cccc(NC(=O)c2ccnc(C3CC3)n2)c1";"Kd";"'='";"100.0";"nM";"7.00";"";"";"UO_0000065";"19.31";"0.35";"3.92";"8.18";"0";"CHEMBL5051162";"Binding affinity towards N-terminal biotinylated Avi-tagged human CBL-B (36 to 427 residues) measured by surface plasmon resonance assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL4879459";"E3 ubiquitin-protein ligase CBL-B";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL5050844";"38";"Patent Bioactivity Data";"";"2019";"None";"";"INHIBITOR";""
"CHEMBL5091021";"";"None";"448.53";"0";"2.40";"223";"C[C@H](Cc1nncn1C)c1cccc(NC(=O)c2cc(C(=O)N3C[C@@H](O)C[C@@H]3C)ccn2)c1";"Kd";"'='";"3001.0";"nM";"5.52";"";"";"UO_0000065";"12.31";"0.23";"3.12";"4.88";"0";"CHEMBL5051162";"Binding affinity towards N-terminal biotinylated Avi-tagged human CBL-B (36 to 427 residues) measured by surface plasmon resonance assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL4879459";"E3 ubiquitin-protein ligase CBL-B";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL5050844";"38";"Patent Bioactivity Data";"";"2019";"None";"";"INHIBITOR";""
"CHEMBL5091777";"";"None";"433.52";"0";"1.90";"247";"C[C@H](Cc1nncn1C)c1cccc(NC(=O)c2cc(C(=O)N[C@@H]3CCNC3)ccn2)c1";"Kd";"'='";"3001.0";"nM";"5.52";"";"";"UO_0000065";"12.74";"0.24";"3.62";"4.85";"0";"CHEMBL5051162";"Binding affinity towards N-terminal biotinylated Avi-tagged human CBL-B (36 to 427 residues) measured by surface plasmon resonance assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL4879459";"E3 ubiquitin-protein ligase CBL-B";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL5050844";"38";"Patent Bioactivity Data";"";"2019";"None";"";"INHIBITOR";""
"CHEMBL5072916";"";"None";"499.54";"0";"3.91";"394";"C[C@H](Cc1nncn1C)c1cccc(N2Cc3c(cc(CN4CC[C@H](O)C4)cc3C(F)(F)F)C2=O)c1";"Kd";"'<'";"100.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL5051162";"Binding affinity towards N-terminal biotinylated Avi-tagged human CBL-B (36 to 427 residues) measured by surface plasmon resonance assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL4879459";"E3 ubiquitin-protein ligase CBL-B";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL5050844";"38";"Patent Bioactivity Data";"";"2019";"None";"";"INHIBITOR";""
"CHEMBL5077821";"";"None";"555.50";"2";"5.51";"447";"Cn1cnnc1C(F)(F)[C@](C)(F)c1cccc(N2Cc3c(cc(CN4CC[C@H](F)C4)cc3C(F)(F)F)C2=O)c1";"Kd";"'<'";"100.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL5051162";"Binding affinity towards N-terminal biotinylated Avi-tagged human CBL-B (36 to 427 residues) measured by surface plasmon resonance assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL4879459";"E3 ubiquitin-protein ligase CBL-B";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL5050844";"38";"Patent Bioactivity Data";"";"2019";"None";"";"INHIBITOR";""
"CHEMBL5093339";"";"None";"561.56";"1";"4.91";"670a";"Cn1cnnc1[C@@H](F)C1(c2cccc(N3Cc4c(cc(CN5CCC(F)CC5)cc4C(F)(F)F)C3=O)c2)COC1";"Kd";"'<'";"100.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL5051162";"Binding affinity towards N-terminal biotinylated Avi-tagged human CBL-B (36 to 427 residues) measured by surface plasmon resonance assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL4879459";"E3 ubiquitin-protein ligase CBL-B";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL5050844";"38";"Patent Bioactivity Data";"";"2019";"None";"";"INHIBITOR";""
"CHEMBL5075524";"";"None";"235.32";"0";"1.65";"2";"C[C@H](Sc1nncn1C)c1ccnc(N)c1";"Kd";"'>'";"10000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL5051162";"Binding affinity towards N-terminal biotinylated Avi-tagged human CBL-B (36 to 427 residues) measured by surface plasmon resonance assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL4879459";"E3 ubiquitin-protein ligase CBL-B";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL5050844";"38";"Patent Bioactivity Data";"";"2019";"None";"";"";""
"CHEMBL5077526";"";"None";"424.42";"1";"5.08";"42";"C[C@H](Sc1nncn1C)c1cccc(NC(=O)c2cccc(C(F)(F)F)c2F)c1";"IC50";"'='";"301.0";"nM";"6.52";"";"";"UO_0000065";"15.37";"0.31";"1.44";"10.90";"0";"CHEMBL5051162";"Binding affinity towards N-terminal biotinylated Avi-tagged human CBL-B (36 to 427 residues) measured by surface plasmon resonance assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL4879459";"E3 ubiquitin-protein ligase CBL-B";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL5050844";"38";"Patent Bioactivity Data";"";"2019";"None";"";"INHIBITOR";""
"CHEMBL5088347";"";"None";"452.54";"0";"2.52";"161";"C[C@@H](Sc1nncn1C)c1cccc(NC(=O)c2cc(C(=O)N3CC[C@@H](O)C3)ccn2)c1";"Kd";"'>'";"10000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL5051162";"Binding affinity towards N-terminal biotinylated Avi-tagged human CBL-B (36 to 427 residues) measured by surface plasmon resonance assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL4879459";"E3 ubiquitin-protein ligase CBL-B";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL5050844";"38";"Patent Bioactivity Data";"";"2019";"None";"";"";""
"CHEMBL5080720";"";"None";"371.44";"0";"3.96";"182";"C[C@H](Cc1nncn1C)c1cccc(NC(=O)c2cc3ccccc3cn2)c1";"IC50";"'='";"301.0";"nM";"6.52";"";"";"UO_0000065";"17.56";"0.32";"2.56";"8.97";"0";"CHEMBL5051162";"Binding affinity towards N-terminal biotinylated Avi-tagged human CBL-B (36 to 427 residues) measured by surface plasmon resonance assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL4879459";"E3 ubiquitin-protein ligase CBL-B";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL5050844";"38";"Patent Bioactivity Data";"";"2019";"None";"";"INHIBITOR";""
